DIM\Power, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 
1, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334765, 0.334764, 0.334764, 0.334764, 0.334764, 0.334764, 0.334763, 0.334763, 0.334762, 0.334762, 0.334762, 0.334762, 0.334761, 0.33476, 0.33476, 0.33476, 0.334758, 0.334757, 0.334756, 0.334755, 0.334754, 0.334753, 0.334753, 0.334752, 0.33475, 0.33475, 0.334749, 0.334748, 0.334745, 0.334744, 0.334741, 0.334739, 0.334738, 0.334735, 0.334734, 0.334733, 0.334731, 0.334726, 0.334723, 0.33472, 0.334719, 0.334718, 0.334717, 0.334715, 0.334713, 0.33471, 0.334707, 0.334704, 0.3347, 0.334694, 0.334689, 0.334683, 0.334677, 0.334673, 0.334668, 0.334662, 0.334655, 0.33464, 0.334633, 0.334628, 0.334623, 0.334615, 0.334613, 0.334605, 0.334597, 0.334589, 0.334588, 0.334573, 0.334568, 0.334556, 0.334547, 0.334529, 0.334518, 0.334507, 0.334487, 0.334475, 0.334463, 0.334451, 0.334435, 0.334416, 0.334405, 0.334397, 0.33438, 0.334368, 0.334347, 0.334322, 0.334301, 0.334275, 0.334262, 0.334241, 0.334216, 0.334202, 0.334176, 
2, 0.334478, 0.369984, 0.391716, 0.405852, 0.415667, 0.422847, 0.428315, 0.432612, 0.436077, 0.438928, 0.441315, 0.443342, 0.445084, 0.446598, 0.447925, 0.449098, 0.450142, 0.451077, 0.45192, 0.452683, 0.453378, 0.454012, 0.454595, 0.45513, 0.455625, 0.456084, 0.45651, 0.456906, 0.457277, 0.457624, 0.457949, 0.458254, 0.458542, 0.458813, 0.459069, 0.459311, 0.459541, 0.459759, 0.459966, 0.460163, 0.460351, 0.46053, 0.460701, 0.460864, 0.46102, 0.46117, 0.461313, 0.46145, 0.461582, 0.461709, 0.461831, 0.461949, 0.462062, 0.462171, 0.462276, 0.462377, 0.462475, 0.46257, 0.462661, 0.46275, 0.462835, 0.462918, 0.462998, 0.463076, 0.463152, 0.463225, 0.463296, 0.463365, 0.463432, 0.463497, 0.46356, 0.463622, 0.463682, 0.46374, 0.463797, 0.463853, 0.463906, 0.463959, 0.46401, 0.46406, 0.464109, 0.464157, 0.464203, 0.464248, 0.464293, 0.464336, 0.464378, 0.46442, 0.46446, 0.4645, 0.464538, 0.464576, 0.464613, 0.46465, 0.464685, 0.46472, 0.464754, 0.464787, 0.46482, 0.464852, 0.464884, 0.464915, 0.464945, 0.464975, 0.465004, 0.465032, 0.46506, 0.465088, 0.465115, 0.465141, 0.465167, 0.465193, 0.465218, 0.465243, 0.465267, 0.465291, 0.465315, 0.465338, 0.46536, 0.465383, 0.465405, 0.465426, 0.465447, 0.465468, 0.465489, 0.465509, 0.465529, 0.465549, 0.465568, 0.465587, 0.465606, 0.465624, 0.465643, 0.46566, 0.465678, 0.465695, 0.465712, 0.465729, 0.465746, 0.465762, 0.465778, 0.465794, 0.46581, 0.465825, 0.46584, 0.465856, 0.46587, 0.465885, 0.465899, 0.465913, 0.465927, 0.465941, 0.465954, 0.465968, 0.465981, 0.465995, 0.466007, 0.46602, 0.466033, 0.466045, 0.466057, 0.466069, 0.466081, 0.466093, 0.466105, 0.466116, 0.466128, 0.466138, 0.46615, 0.466161, 0.466172, 0.466183, 0.466193, 0.466204, 0.466215, 0.466225, 0.466235, 0.466244, 0.466254, 0.466264, 0.466272, 0.466282, 0.466292, 0.466301, 0.466311, 0.46632, 0.466329, 0.466336, 0.466343, 0.46635, 0.466355, 0.46636, 0.466369, 0.466375, 0.466384, 0.46639, 0.466398, 0.466406, 0.466414, 0.466423, 
3, 0.33433, 0.38322, 0.415288, 0.437215, 0.452963, 0.464754, 0.473889, 0.481162, 0.487083, 0.491995, 0.496134, 0.499667, 0.502718, 0.505379, 0.507719, 0.509794, 0.511646, 0.513308, 0.514809, 0.516171, 0.517412, 0.518547, 0.51959, 0.520551, 0.52144, 0.522264, 0.52303, 0.523745, 0.524412, 0.525037, 0.525624, 0.526176, 0.526695, 0.527186, 0.527649, 0.528088, 0.528504, 0.528899, 0.529274, 0.529631, 0.529971, 0.530296, 0.530606, 0.530903, 0.531187, 0.531458, 0.531719, 0.531969, 0.532209, 0.53244, 0.532662, 0.532875, 0.533081, 0.53328, 0.533471, 0.533656, 0.533834, 0.534006, 0.534173, 0.534334, 0.53449, 0.534642, 0.534788, 0.53493, 0.535068, 0.535201, 0.535331, 0.535457, 0.53558, 0.535699, 0.535814, 0.535927, 0.536036, 0.536143, 0.536247, 0.536348, 0.536446, 0.536543, 0.536636, 0.536728, 0.536817, 0.536904, 0.536989, 0.537072, 0.537153, 0.537232, 0.53731, 0.537385, 0.537459, 0.537532, 0.537602, 0.537672, 0.53774, 0.537806, 0.537871, 0.537935, 0.537997, 0.538058, 0.538118, 0.538177, 0.538235, 0.538291, 0.538347, 0.538401, 0.538454, 0.538507, 0.538558, 0.538608, 0.538658, 0.538707, 0.538754, 0.538801, 0.538847, 0.538893, 0.538937, 0.538981, 0.539024, 0.539066, 0.539108, 0.539149, 0.539189, 0.539229, 0.539268, 0.539306, 0.539344, 0.539381, 0.539417, 0.539453, 0.539489, 0.539524, 0.539558, 0.539592, 0.539625, 0.539658, 0.539691, 0.539723, 0.539754, 0.539785, 0.539816, 0.539846, 0.539875, 0.539905, 0.539934, 0.539962, 0.53999, 0.540018, 0.540045, 0.540072, 0.540099, 0.540125, 0.540151, 0.540177, 0.540202, 0.540227, 0.540251, 0.540276, 0.5403, 0.540323, 0.540347, 0.54037, 0.540392, 0.540414, 0.540437, 0.540459, 0.54048, 0.540502, 0.540523, 0.540544, 0.540565, 0.540585, 0.540605, 0.540625, 0.540645, 0.540665, 0.540684, 0.540703, 0.540722, 0.540741, 0.540759, 0.540777, 0.540796, 0.540813, 0.540831, 0.540849, 0.540866, 0.540883, 0.5409, 0.540917, 0.540933, 0.54095, 0.540966, 0.540982, 0.540998, 0.541012, 0.541027, 0.541043, 0.541058, 0.541073, 0.541088, 0.541103, 
4, 0.334263, 0.390194, 0.428362, 0.4553, 0.475081, 0.49013, 0.501924, 0.511397, 0.519163, 0.525641, 0.531123, 0.535821, 0.539891, 0.543449, 0.546587, 0.549373, 0.551865, 0.554105, 0.55613, 0.55797, 0.559648, 0.561186, 0.562599, 0.563903, 0.56511, 0.566229, 0.567271, 0.568243, 0.569151, 0.570002, 0.570801, 0.571553, 0.572262, 0.572931, 0.573563, 0.574162, 0.57473, 0.57527, 0.575782, 0.576271, 0.576736, 0.57718, 0.577605, 0.57801, 0.578399, 0.578771, 0.579127, 0.57947, 0.579799, 0.580115, 0.580419, 0.580712, 0.580994, 0.581266, 0.581528, 0.581781, 0.582026, 0.582262, 0.582491, 0.582712, 0.582926, 0.583134, 0.583335, 0.58353, 0.583719, 0.583902, 0.58408, 0.584253, 0.584421, 0.584585, 0.584744, 0.584898, 0.585049, 0.585195, 0.585338, 0.585477, 0.585612, 0.585744, 0.585873, 0.585999, 0.586121, 0.586241, 0.586358, 0.586472, 0.586583, 0.586692, 0.586799, 0.586903, 0.587005, 0.587104, 0.587202, 0.587297, 0.58739, 0.587482, 0.587571, 0.587659, 0.587745, 0.587829, 0.587911, 0.587992, 0.588071, 0.588149, 0.588225, 0.5883, 0.588374, 0.588446, 0.588516, 0.588586, 0.588654, 0.588721, 0.588787, 0.588851, 0.588915, 0.588977, 0.589038, 0.589099, 0.589158, 0.589216, 0.589274, 0.58933, 0.589385, 0.58944, 0.589494, 0.589546, 0.589598, 0.58965, 0.5897, 0.589749, 0.589798, 0.589846, 0.589894, 0.58994, 0.589986, 0.590032, 0.590076, 0.59012, 0.590164, 0.590206, 0.590248, 0.59029, 0.590331, 0.590371, 0.590411, 0.59045, 0.590489, 0.590527, 0.590565, 0.590602, 0.590639, 0.590675, 0.590711, 0.590746, 0.590781, 0.590815, 0.590849, 0.590883, 0.590916, 0.590948, 0.590981, 0.591012, 0.591044, 0.591075, 0.591106, 0.591136, 0.591166, 0.591195, 0.591225, 0.591254, 0.591282, 0.59131, 0.591338, 0.591366, 0.591393, 0.59142, 0.591447, 0.591473, 0.591499, 0.591525, 0.59155, 0.591576, 0.591601, 0.591625, 0.59165, 0.591674, 0.591698, 0.591721, 0.591745, 0.591768, 0.591791, 0.591813, 0.591836, 0.591858, 0.59188, 0.591901, 0.591923, 0.591944, 0.591965, 0.591986, 0.592007, 0.592027, 
5, 0.334408, 0.394426, 0.43628, 0.466448, 0.488972, 0.506323, 0.520052, 0.531159, 0.540319, 0.547993, 0.554513, 0.560117, 0.564984, 0.56925, 0.573019, 0.576372, 0.579374, 0.582077, 0.584524, 0.586748, 0.58878, 0.590643, 0.592357, 0.593939, 0.595404, 0.596765, 0.598031, 0.599213, 0.600319, 0.601355, 0.602329, 0.603245, 0.604109, 0.604924, 0.605696, 0.606427, 0.60712, 0.607779, 0.608405, 0.609001, 0.60957, 0.610113, 0.610632, 0.611128, 0.611602, 0.612057, 0.612494, 0.612913, 0.613315, 0.613702, 0.614074, 0.614433, 0.614778, 0.615111, 0.615433, 0.615743, 0.616043, 0.616332, 0.616612, 0.616883, 0.617146, 0.6174, 0.617647, 0.617886, 0.618117, 0.618342, 0.618561, 0.618773, 0.618979, 0.619179, 0.619374, 0.619564, 0.619749, 0.619928, 0.620103, 0.620274, 0.62044, 0.620602, 0.62076, 0.620914, 0.621065, 0.621212, 0.621355, 0.621495, 0.621632, 0.621766, 0.621896, 0.622024, 0.622149, 0.622271, 0.622391, 0.622508, 0.622623, 0.622735, 0.622845, 0.622952, 0.623058, 0.623161, 0.623263, 0.623362, 0.623459, 0.623555, 0.623648, 0.62374, 0.623831, 0.623919, 0.624006, 0.624091, 0.624175, 0.624257, 0.624338, 0.624418, 0.624496, 0.624572, 0.624648, 0.624722, 0.624794, 0.624866, 0.624936, 0.625006, 0.625074, 0.625141, 0.625207, 0.625272, 0.625336, 0.625399, 0.625461, 0.625521, 0.625582, 0.625641, 0.625699, 0.625756, 0.625813, 0.625868, 0.625923, 0.625977, 0.626031, 0.626083, 0.626135, 0.626186, 0.626236, 0.626286, 0.626335, 0.626383, 0.626431, 0.626478, 0.626524, 0.62657, 0.626615, 0.626659, 0.626703, 0.626747, 0.62679, 0.626832, 0.626874, 0.626915, 0.626955, 0.626996, 0.627035, 0.627074, 0.627113, 0.627151, 0.627189, 0.627226, 0.627263, 0.6273, 0.627336, 0.627371, 0.627406, 0.627441, 0.627475, 0.627509, 0.627543, 0.627576, 0.627609, 0.627641, 0.627673, 0.627705, 0.627736, 0.627767, 0.627798, 0.627828, 0.627858, 0.627888, 0.627917, 0.627947, 0.627975, 0.628004, 0.628032, 0.62806, 0.628087, 0.628115, 0.628142, 0.628168, 0.628195, 0.628221, 0.628247, 0.628273, 0.628298, 0.628323, 
6, 0.334851, 0.397338, 0.441572, 0.473961, 0.498455, 0.517513, 0.532709, 0.54508, 0.55533, 0.563953, 0.571302, 0.577637, 0.583151, 0.587994, 0.592279, 0.596097, 0.599521, 0.602607, 0.605403, 0.607948, 0.610274, 0.612408, 0.614373, 0.616189, 0.61787, 0.619433, 0.620888, 0.622247, 0.623518, 0.624711, 0.625831, 0.626886, 0.627881, 0.628821, 0.62971, 0.630553, 0.631352, 0.632112, 0.632834, 0.633522, 0.634179, 0.634805, 0.635404, 0.635977, 0.636525, 0.637051, 0.637555, 0.638039, 0.638504, 0.638952, 0.639382, 0.639796, 0.640196, 0.640581, 0.640953, 0.641312, 0.641658, 0.641993, 0.642318, 0.642631, 0.642935, 0.643229, 0.643515, 0.643791, 0.64406, 0.64432, 0.644573, 0.644819, 0.645057, 0.645289, 0.645515, 0.645735, 0.645949, 0.646157, 0.64636, 0.646557, 0.64675, 0.646938, 0.647121, 0.647299, 0.647474, 0.647644, 0.64781, 0.647973, 0.648131, 0.648286, 0.648438, 0.648586, 0.648731, 0.648873, 0.649011, 0.649147, 0.64928, 0.64941, 0.649537, 0.649662, 0.649785, 0.649904, 0.650022, 0.650137, 0.65025, 0.650361, 0.65047, 0.650576, 0.650681, 0.650784, 0.650884, 0.650983, 0.65108, 0.651176, 0.65127, 0.651362, 0.651452, 0.651541, 0.651629, 0.651715, 0.651799, 0.651882, 0.651964, 0.652044, 0.652124, 0.652201, 0.652278, 0.652353, 0.652427, 0.6525, 0.652572, 0.652643, 0.652713, 0.652781, 0.652849, 0.652915, 0.652981, 0.653046, 0.653109, 0.653172, 0.653234, 0.653295, 0.653355, 0.653414, 0.653473, 0.65353, 0.653587, 0.653643, 0.653699, 0.653753, 0.653807, 0.65386, 0.653912, 0.653964, 0.654015, 0.654066, 0.654115, 0.654164, 0.654213, 0.654261, 0.654308, 0.654354, 0.654401, 0.654446, 0.654491, 0.654535, 0.654579, 0.654623, 0.654665, 0.654708, 0.654749, 0.654791, 0.654832, 0.654872, 0.654912, 0.654951, 0.65499, 0.655029, 0.655067, 0.655104, 0.655142, 0.655179, 0.655215, 0.655251, 0.655287, 0.655322, 0.655357, 0.655391, 0.655425, 0.655459, 0.655492, 0.655525, 0.655558, 0.655591, 0.655623, 0.655654, 0.655686, 0.655717, 0.655747, 0.655778, 0.655808, 0.655838, 0.655867, 0.655896, 
7, 0.334362, 0.398663, 0.444657, 0.478727, 0.504745, 0.525147, 0.541515, 0.554906, 0.566045, 0.575447, 0.583481, 0.590422, 0.596477, 0.601802, 0.606522, 0.610732, 0.614511, 0.617921, 0.621013, 0.62383, 0.626407, 0.628772, 0.630951, 0.632965, 0.634832, 0.636567, 0.638183, 0.639694, 0.641107, 0.642434, 0.64368, 0.644854, 0.645962, 0.647008, 0.647998, 0.648937, 0.649827, 0.650674, 0.651479, 0.652247, 0.652978, 0.653677, 0.654345, 0.654984, 0.655596, 0.656182, 0.656745, 0.657285, 0.657805, 0.658304, 0.658784, 0.659247, 0.659693, 0.660123, 0.660538, 0.660939, 0.661327, 0.661701, 0.662063, 0.662414, 0.662753, 0.663082, 0.663401, 0.66371, 0.66401, 0.664301, 0.664584, 0.664858, 0.665125, 0.665385, 0.665637, 0.665883, 0.666122, 0.666355, 0.666582, 0.666803, 0.667018, 0.667228, 0.667433, 0.667633, 0.667828, 0.668018, 0.668204, 0.668386, 0.668563, 0.668737, 0.668906, 0.669072, 0.669234, 0.669393, 0.669548, 0.6697, 0.669848, 0.669994, 0.670137, 0.670276, 0.670413, 0.670547, 0.670679, 0.670808, 0.670934, 0.671058, 0.67118, 0.671299, 0.671416, 0.671531, 0.671644, 0.671755, 0.671864, 0.671971, 0.672076, 0.672179, 0.67228, 0.67238, 0.672478, 0.672574, 0.672668, 0.672762, 0.672853, 0.672943, 0.673032, 0.673119, 0.673204, 0.673289, 0.673372, 0.673454, 0.673534, 0.673613, 0.673691, 0.673768, 0.673844, 0.673918, 0.673992, 0.674064, 0.674136, 0.674206, 0.674275, 0.674344, 0.674411, 0.674477, 0.674543, 0.674607, 0.674671, 0.674734, 0.674796, 0.674857, 0.674917, 0.674976, 0.675035, 0.675093, 0.67515, 0.675207, 0.675262, 0.675317, 0.675371, 0.675425, 0.675478, 0.67553, 0.675582, 0.675633, 0.675683, 0.675733, 0.675782, 0.675831, 0.675878, 0.675926, 0.675973, 0.676019, 0.676065, 0.67611, 0.676155, 0.676199, 0.676242, 0.676286, 0.676328, 0.67637, 0.676412, 0.676453, 0.676494, 0.676535, 0.676574, 0.676614, 0.676653, 0.676692, 0.67673, 0.676768, 0.676805, 0.676842, 0.676879, 0.676915, 0.676951, 0.676986, 0.677021, 0.677056, 0.677091, 0.677125, 0.677159, 0.677192, 0.677225, 0.677258, 
8, 0.334735, 0.400217, 0.447425, 0.482708, 0.50987, 0.531312, 0.548606, 0.562817, 0.574682, 0.584725, 0.59333, 0.600778, 0.607287, 0.613021, 0.618109, 0.622654, 0.626737, 0.630425, 0.633772, 0.636823, 0.639615, 0.64218, 0.644545, 0.646731, 0.648759, 0.650644, 0.652402, 0.654044, 0.655583, 0.657026, 0.658383, 0.659661, 0.660867, 0.662007, 0.663087, 0.664109, 0.665081, 0.666004, 0.666882, 0.667719, 0.668517, 0.66928, 0.670009, 0.670706, 0.671374, 0.672014, 0.672629, 0.673219, 0.673786, 0.674331, 0.674856, 0.675362, 0.675849, 0.676319, 0.676773, 0.677211, 0.677635, 0.678044, 0.67844, 0.678823, 0.679194, 0.679554, 0.679902, 0.68024, 0.680568, 0.680887, 0.681196, 0.681497, 0.681789, 0.682073, 0.682349, 0.682617, 0.682879, 0.683134, 0.683382, 0.683624, 0.68386, 0.684089, 0.684314, 0.684532, 0.684746, 0.684954, 0.685158, 0.685357, 0.685551, 0.685741, 0.685926, 0.686108, 0.686285, 0.686459, 0.686629, 0.686795, 0.686958, 0.687117, 0.687274, 0.687427, 0.687576, 0.687723, 0.687867, 0.688009, 0.688147, 0.688283, 0.688416, 0.688547, 0.688675, 0.688801, 0.688925, 0.689046, 0.689165, 0.689282, 0.689397, 0.68951, 0.689621, 0.68973, 0.689837, 0.689943, 0.690047, 0.690148, 0.690249, 0.690347, 0.690444, 0.69054, 0.690634, 0.690726, 0.690817, 0.690907, 0.690995, 0.691082, 0.691167, 0.691251, 0.691334, 0.691416, 0.691497, 0.691576, 0.691654, 0.691731, 0.691807, 0.691882, 0.691956, 0.692028, 0.6921, 0.692171, 0.692241, 0.692309, 0.692377, 0.692444, 0.69251, 0.692575, 0.69264, 0.692703, 0.692766, 0.692828, 0.692889, 0.692949, 0.693008, 0.693067, 0.693125, 0.693182, 0.693239, 0.693295, 0.69335, 0.693404, 0.693458, 0.693511, 0.693564, 0.693616, 0.693667, 0.693718, 0.693768, 0.693818, 0.693867, 0.693915, 0.693963, 0.69401, 0.694057, 0.694103, 0.694149, 0.694194, 0.694239, 0.694283, 0.694327, 0.69437, 0.694413, 0.694455, 0.694497, 0.694539, 0.69458, 0.69462, 0.694661, 0.6947, 0.69474, 0.694779, 0.694817, 0.694855, 0.694893, 0.69493, 0.694967, 0.695004, 0.69504, 0.695076, 
9, 0.33455, 0.401024, 0.449241, 0.485541, 0.513666, 0.535987, 0.55407, 0.568982, 0.581468, 0.592063, 0.601159, 0.609047, 0.61595, 0.622039, 0.627448, 0.632285, 0.636633, 0.640564, 0.644134, 0.647391, 0.650373, 0.653113, 0.655641, 0.657979, 0.660147, 0.662165, 0.664046, 0.665805, 0.667452, 0.668998, 0.670452, 0.671822, 0.673115, 0.674338, 0.675495, 0.676592, 0.677633, 0.678624, 0.679566, 0.680464, 0.681321, 0.68214, 0.682922, 0.683671, 0.684388, 0.685076, 0.685736, 0.68637, 0.686979, 0.687565, 0.688129, 0.688672, 0.689196, 0.689701, 0.690189, 0.69066, 0.691115, 0.691555, 0.69198, 0.692392, 0.692791, 0.693178, 0.693553, 0.693917, 0.694269, 0.694612, 0.694944, 0.695268, 0.695582, 0.695887, 0.696184, 0.696473, 0.696755, 0.697029, 0.697296, 0.697556, 0.69781, 0.698057, 0.698298, 0.698534, 0.698763, 0.698988, 0.699207, 0.699421, 0.69963, 0.699834, 0.700034, 0.700229, 0.700421, 0.700607, 0.70079, 0.700969, 0.701145, 0.701316, 0.701485, 0.701649, 0.701811, 0.701969, 0.702124, 0.702276, 0.702425, 0.702571, 0.702715, 0.702856, 0.702994, 0.70313, 0.703263, 0.703393, 0.703522, 0.703648, 0.703772, 0.703893, 0.704013, 0.70413, 0.704246, 0.70436, 0.704471, 0.704581, 0.704689, 0.704795, 0.7049, 0.705003, 0.705104, 0.705203, 0.705301, 0.705398, 0.705493, 0.705586, 0.705679, 0.705769, 0.705859, 0.705947, 0.706034, 0.706119, 0.706203, 0.706286, 0.706368, 0.706449, 0.706528, 0.706607, 0.706684, 0.70676, 0.706835, 0.706909, 0.706983, 0.707055, 0.707126, 0.707196, 0.707266, 0.707334, 0.707401, 0.707468, 0.707534, 0.707599, 0.707663, 0.707726, 0.707789, 0.70785, 0.707911, 0.707972, 0.708031, 0.70809, 0.708148, 0.708205, 0.708262, 0.708318, 0.708373, 0.708428, 0.708482, 0.708535, 0.708588, 0.70864, 0.708692, 0.708743, 0.708793, 0.708843, 0.708893, 0.708941, 0.70899, 0.709037, 0.709084, 0.709131, 0.709177, 0.709223, 0.709268, 0.709313, 0.709357, 0.709401, 0.709444, 0.709487, 0.709529, 0.709571, 0.709613, 0.709654, 0.709695, 0.709735, 0.709775, 0.709814, 0.709854, 0.709892, 
10, 0.334136, 0.401434, 0.450421, 0.487495, 0.516368, 0.539386, 0.558104, 0.573586, 0.586584, 0.597637, 0.607142, 0.615399, 0.622634, 0.629024, 0.634706, 0.639791, 0.644367, 0.648506, 0.652268, 0.655701, 0.658847, 0.66174, 0.664408, 0.666878, 0.66917, 0.671302, 0.673291, 0.675151, 0.676894, 0.67853, 0.68007, 0.68152, 0.682889, 0.684184, 0.68541, 0.686572, 0.687676, 0.688726, 0.689725, 0.690677, 0.691586, 0.692454, 0.693284, 0.694078, 0.694839, 0.695569, 0.696269, 0.696942, 0.697588, 0.69821, 0.698809, 0.699386, 0.699942, 0.700478, 0.700996, 0.701496, 0.701979, 0.702446, 0.702898, 0.703336, 0.70376, 0.704171, 0.704569, 0.704955, 0.70533, 0.705694, 0.706047, 0.706391, 0.706725, 0.707049, 0.707365, 0.707672, 0.707971, 0.708263, 0.708547, 0.708823, 0.709093, 0.709356, 0.709612, 0.709862, 0.710107, 0.710345, 0.710578, 0.710806, 0.711028, 0.711245, 0.711458, 0.711665, 0.711869, 0.712068, 0.712262, 0.712453, 0.712639, 0.712822, 0.713, 0.713176, 0.713347, 0.713516, 0.713681, 0.713842, 0.714001, 0.714157, 0.714309, 0.714459, 0.714606, 0.71475, 0.714892, 0.715031, 0.715167, 0.715302, 0.715433, 0.715563, 0.71569, 0.715815, 0.715938, 0.716059, 0.716178, 0.716295, 0.71641, 0.716523, 0.716634, 0.716743, 0.716851, 0.716957, 0.717061, 0.717164, 0.717265, 0.717365, 0.717463, 0.717559, 0.717654, 0.717748, 0.71784, 0.717931, 0.718021, 0.718109, 0.718197, 0.718282, 0.718367, 0.71845, 0.718533, 0.718614, 0.718694, 0.718773, 0.718851, 0.718928, 0.719003, 0.719078, 0.719152, 0.719225, 0.719297, 0.719368, 0.719438, 0.719507, 0.719575, 0.719642, 0.719709, 0.719775, 0.71984, 0.719904, 0.719967, 0.72003, 0.720091, 0.720152, 0.720213, 0.720272, 0.720331, 0.720389, 0.720447, 0.720504, 0.72056, 0.720616, 0.720671, 0.720725, 0.720779, 0.720832, 0.720884, 0.720936, 0.720987, 0.721038, 0.721088, 0.721138, 0.721187, 0.721236, 0.721284, 0.721332, 0.721379, 0.721425, 0.721471, 0.721517, 0.721562, 0.721607, 0.721651, 0.721695, 0.721738, 0.721781, 0.721824, 0.721866, 0.721907, 0.721949, 
