DIM\Power, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 
1, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334694, 0.334693, 0.334693, 0.334693, 0.334693, 0.334693, 0.334693, 0.334693, 0.334692, 0.334692, 0.334692, 0.334692, 0.334692, 0.334692, 0.334691, 0.334691, 0.334691, 0.33469, 0.33469, 0.334689, 0.334688, 0.334687, 0.334687, 0.334687, 0.334686, 0.334685, 0.334685, 0.334684, 0.334683, 0.334681, 0.33468, 0.334678, 0.334675, 0.334674, 0.334673, 0.334671, 0.334669, 0.334667, 0.334663, 0.334661, 0.334658, 0.334657, 0.334655, 0.33465, 0.334647, 0.334644, 0.334643, 0.334642, 0.334638, 0.334632, 0.334626, 0.334622, 0.334619, 0.334612, 0.33461, 0.334606, 0.334601, 0.334598, 0.33459, 0.334581, 0.334572, 0.334562, 0.33455, 0.334546, 0.334534, 0.334527, 0.334517, 0.334508, 0.334504, 0.334499, 0.334492, 0.334482, 0.334473, 0.334471, 0.334462, 0.334451, 0.334435, 0.334425, 0.334413, 0.334401, 0.334393, 0.334373, 0.334358, 0.334335, 0.334314, 0.334301, 0.334289, 0.334266, 0.334256, 0.334241, 0.334226, 0.33421, 0.334199, 0.334176, 0.33415, 0.334121, 
2, 0.334637, 0.369936, 0.391542, 0.40563, 0.415436, 0.422619, 0.428095, 0.4324, 0.435871, 0.438727, 0.441117, 0.443145, 0.444889, 0.446403, 0.44773, 0.448903, 0.449946, 0.450881, 0.451722, 0.452485, 0.453178, 0.453811, 0.454392, 0.454927, 0.455421, 0.455878, 0.456303, 0.456698, 0.457068, 0.457413, 0.457737, 0.458042, 0.458328, 0.458599, 0.458854, 0.459095, 0.459324, 0.459541, 0.459748, 0.459944, 0.460131, 0.460309, 0.460479, 0.460642, 0.460798, 0.460947, 0.461089, 0.461226, 0.461358, 0.461484, 0.461606, 0.461723, 0.461835, 0.461944, 0.462048, 0.462149, 0.462247, 0.462341, 0.462432, 0.46252, 0.462605, 0.462688, 0.462768, 0.462845, 0.462921, 0.462993, 0.463064, 0.463133, 0.4632, 0.463265, 0.463328, 0.463389, 0.463449, 0.463507, 0.463563, 0.463619, 0.463672, 0.463725, 0.463776, 0.463825, 0.463874, 0.463921, 0.463968, 0.464013, 0.464057, 0.4641, 0.464142, 0.464183, 0.464224, 0.464263, 0.464302, 0.464339, 0.464376, 0.464412, 0.464448, 0.464482, 0.464516, 0.46455, 0.464582, 0.464614, 0.464645, 0.464676, 0.464706, 0.464736, 0.464765, 0.464793, 0.464821, 0.464849, 0.464876, 0.464902, 0.464928, 0.464954, 0.464979, 0.465003, 0.465027, 0.465051, 0.465075, 0.465098, 0.46512, 0.465142, 0.465164, 0.465186, 0.465207, 0.465228, 0.465248, 0.465268, 0.465288, 0.465308, 0.465327, 0.465346, 0.465365, 0.465383, 0.465401, 0.465419, 0.465436, 0.465454, 0.46547, 0.465487, 0.465504, 0.46552, 0.465536, 0.465552, 0.465568, 0.465583, 0.465599, 0.465614, 0.465629, 0.465643, 0.465658, 0.465672, 0.465686, 0.4657, 0.465713, 0.465726, 0.46574, 0.465753, 0.465765, 0.465778, 0.465791, 0.465803, 0.465816, 0.465828, 0.46584, 0.465852, 0.465864, 0.465873, 0.465885, 0.465896, 0.465907, 0.465917, 0.465927, 0.465935, 0.465946, 0.465956, 0.465967, 0.465977, 0.465988, 0.465998, 0.466006, 0.466016, 0.466026, 0.466034, 0.466044, 0.466053, 0.466062, 0.466072, 0.466079, 0.466086, 0.466095, 0.466104, 0.466113, 0.466122, 0.466128, 0.466137, 0.466145, 0.466154, 0.466157, 0.466163, 0.466169, 0.46617, 
3, 0.332861, 0.381549, 0.413392, 0.435175, 0.450834, 0.462568, 0.471661, 0.478902, 0.484798, 0.489688, 0.493808, 0.497324, 0.50036, 0.503008, 0.505336, 0.507399, 0.509241, 0.510894, 0.512386, 0.51374, 0.514973, 0.516102, 0.517138, 0.518093, 0.518977, 0.519796, 0.520557, 0.521267, 0.52193, 0.522551, 0.523134, 0.523682, 0.524199, 0.524686, 0.525146, 0.525582, 0.525995, 0.526387, 0.52676, 0.527115, 0.527453, 0.527776, 0.528084, 0.528378, 0.52866, 0.52893, 0.529189, 0.529437, 0.529676, 0.529905, 0.530125, 0.530337, 0.530542, 0.530739, 0.530929, 0.531112, 0.531289, 0.531461, 0.531626, 0.531786, 0.531941, 0.532091, 0.532237, 0.532378, 0.532514, 0.532647, 0.532776, 0.532901, 0.533023, 0.533141, 0.533256, 0.533367, 0.533476, 0.533582, 0.533685, 0.533785, 0.533883, 0.533979, 0.534072, 0.534163, 0.534251, 0.534337, 0.534422, 0.534504, 0.534585, 0.534663, 0.53474, 0.534815, 0.534889, 0.534961, 0.535031, 0.5351, 0.535167, 0.535233, 0.535298, 0.535361, 0.535423, 0.535484, 0.535543, 0.535601, 0.535659, 0.535715, 0.53577, 0.535824, 0.535877, 0.535929, 0.53598, 0.53603, 0.536079, 0.536127, 0.536174, 0.536221, 0.536267, 0.536312, 0.536356, 0.536399, 0.536442, 0.536484, 0.536526, 0.536566, 0.536606, 0.536645, 0.536684, 0.536722, 0.53676, 0.536796, 0.536833, 0.536869, 0.536904, 0.536938, 0.536973, 0.537006, 0.537039, 0.537072, 0.537104, 0.537136, 0.537167, 0.537198, 0.537228, 0.537258, 0.537287, 0.537317, 0.537345, 0.537373, 0.537401, 0.537429, 0.537456, 0.537483, 0.537509, 0.537535, 0.537561, 0.537586, 0.537612, 0.537636, 0.537661, 0.537685, 0.537709, 0.537732, 0.537755, 0.537778, 0.537801, 0.537823, 0.537845, 0.537867, 0.537889, 0.53791, 0.537931, 0.537952, 0.537973, 0.537993, 0.538013, 0.538032, 0.538051, 0.538071, 0.53809, 0.538109, 0.538128, 0.538146, 0.538165, 0.538183, 0.538201, 0.538218, 0.538236, 0.538253, 0.538271, 0.538288, 0.538304, 0.538321, 0.538337, 0.538354, 0.53837, 0.538386, 0.538402, 0.538417, 0.538433, 0.538448, 0.538463, 0.538478, 0.538493, 0.538505, 
4, 0.332552, 0.387913, 0.42553, 0.452067, 0.471564, 0.486405, 0.498041, 0.50739, 0.515056, 0.52145, 0.526862, 0.531499, 0.535517, 0.53903, 0.542128, 0.544879, 0.547339, 0.549551, 0.551551, 0.553368, 0.555025, 0.556544, 0.55794, 0.559228, 0.56042, 0.561526, 0.562556, 0.563516, 0.564414, 0.565255, 0.566045, 0.566788, 0.567488, 0.56815, 0.568775, 0.569367, 0.569929, 0.570462, 0.570969, 0.571452, 0.571912, 0.572352, 0.572771, 0.573172, 0.573556, 0.573924, 0.574277, 0.574616, 0.574941, 0.575254, 0.575555, 0.575845, 0.576124, 0.576393, 0.576652, 0.576903, 0.577145, 0.577379, 0.577605, 0.577824, 0.578036, 0.578241, 0.57844, 0.578633, 0.57882, 0.579002, 0.579178, 0.579349, 0.579515, 0.579677, 0.579834, 0.579987, 0.580136, 0.580281, 0.580422, 0.58056, 0.580694, 0.580825, 0.580952, 0.581076, 0.581198, 0.581316, 0.581432, 0.581545, 0.581655, 0.581763, 0.581868, 0.581971, 0.582072, 0.582171, 0.582267, 0.582361, 0.582454, 0.582544, 0.582633, 0.582719, 0.582804, 0.582888, 0.582969, 0.583049, 0.583128, 0.583205, 0.58328, 0.583354, 0.583427, 0.583498, 0.583568, 0.583637, 0.583705, 0.583771, 0.583836, 0.5839, 0.583963, 0.584025, 0.584085, 0.584145, 0.584204, 0.584261, 0.584318, 0.584374, 0.584429, 0.584483, 0.584536, 0.584588, 0.584639, 0.58469, 0.58474, 0.584789, 0.584837, 0.584885, 0.584932, 0.584978, 0.585024, 0.585068, 0.585113, 0.585156, 0.585199, 0.585241, 0.585283, 0.585324, 0.585365, 0.585405, 0.585444, 0.585483, 0.585521, 0.585559, 0.585596, 0.585633, 0.585669, 0.585705, 0.585741, 0.585776, 0.58581, 0.585844, 0.585878, 0.585911, 0.585944, 0.585976, 0.586008, 0.586039, 0.58607, 0.586101, 0.586132, 0.586162, 0.586191, 0.586221, 0.58625, 0.586278, 0.586306, 0.586334, 0.586362, 0.586389, 0.586416, 0.586443, 0.586469, 0.586496, 0.586521, 0.586547, 0.586572, 0.586597, 0.586622, 0.586646, 0.58667, 0.586694, 0.586718, 0.586741, 0.586764, 0.586787, 0.58681, 0.586832, 0.586854, 0.586876, 0.586898, 0.58692, 0.586941, 0.586962, 0.586983, 0.587004, 0.587024, 0.587044, 
5, 0.33205, 0.391492, 0.432873, 0.462688, 0.48494, 0.502077, 0.515632, 0.526598, 0.535639, 0.543213, 0.549647, 0.555178, 0.559981, 0.564191, 0.567909, 0.571218, 0.574181, 0.576848, 0.579263, 0.581459, 0.583464, 0.585303, 0.586995, 0.588557, 0.590003, 0.591346, 0.592596, 0.593763, 0.594855, 0.595878, 0.59684, 0.597744, 0.598597, 0.599403, 0.600165, 0.600887, 0.601572, 0.602222, 0.602841, 0.60343, 0.603992, 0.604528, 0.605041, 0.605531, 0.606, 0.60645, 0.606881, 0.607295, 0.607692, 0.608075, 0.608443, 0.608797, 0.609138, 0.609467, 0.609785, 0.610092, 0.610388, 0.610674, 0.610951, 0.611219, 0.611478, 0.61173, 0.611973, 0.612209, 0.612439, 0.612661, 0.612877, 0.613087, 0.61329, 0.613489, 0.613681, 0.613869, 0.614051, 0.614229, 0.614402, 0.614571, 0.614735, 0.614895, 0.615051, 0.615204, 0.615353, 0.615498, 0.61564, 0.615778, 0.615913, 0.616046, 0.616175, 0.616301, 0.616425, 0.616546, 0.616664, 0.61678, 0.616893, 0.617004, 0.617113, 0.617219, 0.617324, 0.617426, 0.617526, 0.617624, 0.617721, 0.617815, 0.617908, 0.617999, 0.618088, 0.618175, 0.618261, 0.618346, 0.618428, 0.61851, 0.61859, 0.618668, 0.618745, 0.618821, 0.618896, 0.618969, 0.619041, 0.619112, 0.619182, 0.61925, 0.619317, 0.619384, 0.619449, 0.619513, 0.619576, 0.619639, 0.6197, 0.61976, 0.61982, 0.619878, 0.619936, 0.619992, 0.620048, 0.620103, 0.620158, 0.620211, 0.620264, 0.620316, 0.620367, 0.620418, 0.620467, 0.620516, 0.620565, 0.620613, 0.62066, 0.620706, 0.620752, 0.620797, 0.620842, 0.620886, 0.620929, 0.620972, 0.621015, 0.621056, 0.621098, 0.621139, 0.621179, 0.621218, 0.621258, 0.621296, 0.621335, 0.621373, 0.62141, 0.621447, 0.621483, 0.621519, 0.621555, 0.62159, 0.621625, 0.621659, 0.621693, 0.621727, 0.62176, 0.621793, 0.621825, 0.621857, 0.621889, 0.62192, 0.621951, 0.621982, 0.622012, 0.622042, 0.622072, 0.622102, 0.622131, 0.622159, 0.622188, 0.622216, 0.622244, 0.622271, 0.622299, 0.622326, 0.622352, 0.622379, 0.622405, 0.622431, 0.622456, 0.622482, 0.622507, 0.622532, 
6, 0.331646, 0.393945, 0.438015, 0.470256, 0.494614, 0.513548, 0.528633, 0.540905, 0.55107, 0.559618, 0.566902, 0.573179, 0.578642, 0.58344, 0.587685, 0.591467, 0.594857, 0.597914, 0.600683, 0.603204, 0.605508, 0.607621, 0.609567, 0.611365, 0.61303, 0.614578, 0.616019, 0.617365, 0.618624, 0.619805, 0.620915, 0.62196, 0.622945, 0.623876, 0.624757, 0.625591, 0.626383, 0.627135, 0.627851, 0.628533, 0.629183, 0.629804, 0.630397, 0.630964, 0.631508, 0.632028, 0.632528, 0.633007, 0.633468, 0.633911, 0.634337, 0.634748, 0.635144, 0.635525, 0.635893, 0.636249, 0.636592, 0.636924, 0.637245, 0.637556, 0.637857, 0.638149, 0.638431, 0.638705, 0.638971, 0.639229, 0.63948, 0.639723, 0.63996, 0.64019, 0.640413, 0.640631, 0.640843, 0.641049, 0.64125, 0.641446, 0.641637, 0.641823, 0.642004, 0.642181, 0.642354, 0.642523, 0.642687, 0.642848, 0.643005, 0.643159, 0.643309, 0.643456, 0.643599, 0.64374, 0.643877, 0.644012, 0.644143, 0.644272, 0.644399, 0.644522, 0.644644, 0.644762, 0.644879, 0.644993, 0.645105, 0.645215, 0.645322, 0.645428, 0.645532, 0.645633, 0.645733, 0.645831, 0.645928, 0.646022, 0.646115, 0.646207, 0.646296, 0.646384, 0.646471, 0.646556, 0.64664, 0.646722, 0.646803, 0.646883, 0.646961, 0.647038, 0.647114, 0.647189, 0.647263, 0.647335, 0.647406, 0.647476, 0.647545, 0.647613, 0.64768, 0.647746, 0.647811, 0.647875, 0.647938, 0.648001, 0.648062, 0.648122, 0.648182, 0.648241, 0.648299, 0.648356, 0.648412, 0.648468, 0.648522, 0.648576, 0.64863, 0.648682, 0.648734, 0.648786, 0.648836, 0.648886, 0.648935, 0.648984, 0.649032, 0.649079, 0.649126, 0.649172, 0.649218, 0.649263, 0.649308, 0.649352, 0.649395, 0.649438, 0.64948, 0.649522, 0.649564, 0.649605, 0.649645, 0.649685, 0.649725, 0.649764, 0.649802, 0.649841, 0.649878, 0.649916, 0.649952, 0.649989, 0.650025, 0.650061, 0.650096, 0.650131, 0.650166, 0.6502, 0.650234, 0.650267, 0.6503, 0.650333, 0.650365, 0.650397, 0.650429, 0.65046, 0.650492, 0.650522, 0.650553, 0.650583, 0.650613, 0.650642, 0.650672, 0.650701, 
7, 0.331882, 0.396316, 0.442411, 0.476539, 0.502579, 0.522977, 0.539327, 0.552692, 0.563803, 0.573175, 0.58118, 0.588094, 0.594122, 0.599423, 0.60412, 0.608309, 0.612069, 0.615461, 0.618537, 0.621339, 0.623901, 0.626253, 0.62842, 0.630423, 0.632279, 0.634005, 0.635612, 0.637114, 0.63852, 0.639839, 0.641078, 0.642246, 0.643347, 0.644387, 0.645372, 0.646305, 0.647191, 0.648033, 0.648834, 0.649597, 0.650325, 0.65102, 0.651684, 0.652319, 0.652928, 0.653511, 0.654071, 0.654608, 0.655125, 0.655621, 0.656099, 0.656559, 0.657003, 0.657431, 0.657844, 0.658242, 0.658628, 0.659, 0.65936, 0.659709, 0.660047, 0.660374, 0.660691, 0.660999, 0.661297, 0.661586, 0.661868, 0.662141, 0.662407, 0.662665, 0.662916, 0.66316, 0.663398, 0.66363, 0.663855, 0.664075, 0.664289, 0.664498, 0.664702, 0.664901, 0.665095, 0.665285, 0.66547, 0.66565, 0.665827, 0.665999, 0.666168, 0.666333, 0.666494, 0.666652, 0.666806, 0.666958, 0.667106, 0.66725, 0.667392, 0.667531, 0.667668, 0.667801, 0.667932, 0.66806, 0.668186, 0.668309, 0.66843, 0.668549, 0.668666, 0.66878, 0.668892, 0.669003, 0.669111, 0.669217, 0.669322, 0.669424, 0.669525, 0.669624, 0.669722, 0.669818, 0.669912, 0.670004, 0.670095, 0.670185, 0.670273, 0.67036, 0.670445, 0.670529, 0.670612, 0.670693, 0.670773, 0.670852, 0.67093, 0.671006, 0.671081, 0.671156, 0.671229, 0.671301, 0.671372, 0.671442, 0.671511, 0.671579, 0.671646, 0.671712, 0.671777, 0.671841, 0.671904, 0.671967, 0.672028, 0.672089, 0.672149, 0.672208, 0.672267, 0.672324, 0.672381, 0.672437, 0.672493, 0.672548, 0.672602, 0.672655, 0.672708, 0.67276, 0.672811, 0.672862, 0.672912, 0.672961, 0.67301, 0.673058, 0.673106, 0.673153, 0.6732, 0.673246, 0.673291, 0.673336, 0.673381, 0.673425, 0.673468, 0.673511, 0.673554, 0.673596, 0.673637, 0.673678, 0.673719, 0.673759, 0.673799, 0.673838, 0.673877, 0.673915, 0.673953, 0.673991, 0.674028, 0.674065, 0.674102, 0.674138, 0.674173, 0.674209, 0.674244, 0.674278, 0.674313, 0.674346, 0.67438, 0.674413, 0.674446, 0.674479, 
8, 0.331791, 0.397497, 0.444892, 0.4803, 0.507527, 0.528992, 0.546285, 0.560478, 0.572317, 0.582331, 0.590905, 0.598323, 0.604803, 0.610509, 0.615572, 0.620092, 0.624153, 0.62782, 0.631148, 0.634182, 0.636958, 0.639508, 0.641859, 0.644032, 0.646047, 0.647921, 0.649668, 0.6513, 0.652829, 0.654263, 0.655612, 0.656882, 0.658081, 0.659214, 0.660287, 0.661303, 0.662268, 0.663185, 0.664058, 0.66489, 0.665684, 0.666441, 0.667166, 0.667859, 0.668523, 0.669159, 0.66977, 0.670356, 0.67092, 0.671462, 0.671984, 0.672486, 0.67297, 0.673438, 0.673889, 0.674324, 0.674745, 0.675152, 0.675545, 0.675926, 0.676295, 0.676652, 0.676999, 0.677335, 0.677661, 0.677978, 0.678285, 0.678584, 0.678874, 0.679156, 0.679431, 0.679698, 0.679958, 0.680211, 0.680458, 0.680698, 0.680933, 0.681161, 0.681384, 0.681602, 0.681814, 0.682021, 0.682223, 0.682421, 0.682614, 0.682803, 0.682987, 0.683168, 0.683344, 0.683517, 0.683686, 0.683851, 0.684013, 0.684172, 0.684327, 0.684479, 0.684628, 0.684774, 0.684918, 0.685058, 0.685196, 0.685331, 0.685463, 0.685593, 0.685721, 0.685846, 0.685969, 0.68609, 0.686208, 0.686325, 0.686439, 0.686551, 0.686662, 0.68677, 0.686877, 0.686982, 0.687085, 0.687186, 0.687286, 0.687384, 0.68748, 0.687575, 0.687669, 0.687761, 0.687851, 0.68794, 0.688028, 0.688114, 0.688199, 0.688283, 0.688366, 0.688447, 0.688527, 0.688606, 0.688684, 0.68876, 0.688836, 0.68891, 0.688984, 0.689056, 0.689127, 0.689198, 0.689267, 0.689335, 0.689403, 0.68947, 0.689535, 0.6896, 0.689664, 0.689727, 0.68979, 0.689851, 0.689912, 0.689972, 0.690031, 0.690089, 0.690147, 0.690204, 0.69026, 0.690316, 0.690371, 0.690425, 0.690478, 0.690531, 0.690584, 0.690635, 0.690686, 0.690737, 0.690787, 0.690836, 0.690885, 0.690933, 0.69098, 0.691028, 0.691074, 0.69112, 0.691166, 0.691211, 0.691255, 0.691299, 0.691343, 0.691386, 0.691428, 0.69147, 0.691512, 0.691553, 0.691594, 0.691634, 0.691674, 0.691714, 0.691753, 0.691792, 0.69183, 0.691868, 0.691906, 0.691943, 0.69198, 0.692016, 0.692052, 0.692088, 
9, 0.331321, 0.398076, 0.44645, 0.482824, 0.510969, 0.533278, 0.551332, 0.566206, 0.578651, 0.589206, 0.598262, 0.606113, 0.612981, 0.619037, 0.624417, 0.629225, 0.633548, 0.637456, 0.641004, 0.644241, 0.647205, 0.649928, 0.65244, 0.654763, 0.656919, 0.658924, 0.660794, 0.662541, 0.664178, 0.665715, 0.66716, 0.668522, 0.669807, 0.671022, 0.672172, 0.673263, 0.674298, 0.675283, 0.67622, 0.677113, 0.677965, 0.678778, 0.679556, 0.680301, 0.681014, 0.681698, 0.682354, 0.682984, 0.68359, 0.684172, 0.684733, 0.685273, 0.685794, 0.686297, 0.686781, 0.68725, 0.687702, 0.68814, 0.688563, 0.688973, 0.68937, 0.689754, 0.690127, 0.690489, 0.69084, 0.69118, 0.691511, 0.691833, 0.692145, 0.692449, 0.692744, 0.693032, 0.693312, 0.693585, 0.69385, 0.694109, 0.694361, 0.694607, 0.694847, 0.695081, 0.69531, 0.695533, 0.695751, 0.695964, 0.696172, 0.696375, 0.696574, 0.696768, 0.696958, 0.697144, 0.697326, 0.697505, 0.697679, 0.69785, 0.698017, 0.698181, 0.698342, 0.698499, 0.698653, 0.698805, 0.698953, 0.699098, 0.699241, 0.699381, 0.699519, 0.699654, 0.699786, 0.699916, 0.700044, 0.700169, 0.700293, 0.700414, 0.700533, 0.700649, 0.700764, 0.700877, 0.700989, 0.701098, 0.701205, 0.701311, 0.701415, 0.701517, 0.701618, 0.701717, 0.701815, 0.701911, 0.702005, 0.702098, 0.70219, 0.70228, 0.702369, 0.702457, 0.702543, 0.702628, 0.702712, 0.702794, 0.702876, 0.702956, 0.703035, 0.703113, 0.70319, 0.703266, 0.703341, 0.703414, 0.703487, 0.703559, 0.70363, 0.7037, 0.703769, 0.703837, 0.703904, 0.70397, 0.704036, 0.7041, 0.704164, 0.704227, 0.704289, 0.704351, 0.704411, 0.704471, 0.70453, 0.704589, 0.704647, 0.704704, 0.70476, 0.704816, 0.704871, 0.704925, 0.704979, 0.705032, 0.705085, 0.705137, 0.705188, 0.705239, 0.705289, 0.705339, 0.705388, 0.705436, 0.705484, 0.705532, 0.705578, 0.705625, 0.705671, 0.705716, 0.705761, 0.705806, 0.70585, 0.705893, 0.705936, 0.705979, 0.706021, 0.706063, 0.706104, 0.706145, 0.706186, 0.706226, 0.706265, 0.706305, 0.706344, 0.706382, 
10, 0.331179, 0.398757, 0.447941, 0.48512, 0.514033, 0.537051, 0.555747, 0.571198, 0.584158, 0.595174, 0.604643, 0.612864, 0.620066, 0.626425, 0.632079, 0.637138, 0.64169, 0.645807, 0.649549, 0.652964, 0.656093, 0.65897, 0.661624, 0.664081, 0.66636, 0.668482, 0.670461, 0.672311, 0.674045, 0.675673, 0.677204, 0.678648, 0.68001, 0.681299, 0.682519, 0.683675, 0.684774, 0.685819, 0.686813, 0.687761, 0.688666, 0.68953, 0.690356, 0.691147, 0.691905, 0.692631, 0.693328, 0.693998, 0.694642, 0.695261, 0.695857, 0.696431, 0.696985, 0.697519, 0.698035, 0.698533, 0.699014, 0.699479, 0.69993, 0.700366, 0.700788, 0.701197, 0.701594, 0.701978, 0.702352, 0.702714, 0.703066, 0.703408, 0.703741, 0.704064, 0.704379, 0.704685, 0.704983, 0.705273, 0.705556, 0.705831, 0.7061, 0.706362, 0.706617, 0.706867, 0.70711, 0.707348, 0.70758, 0.707806, 0.708028, 0.708244, 0.708456, 0.708663, 0.708866, 0.709064, 0.709257, 0.709447, 0.709633, 0.709815, 0.709993, 0.710168, 0.710339, 0.710506, 0.710671, 0.710832, 0.71099, 0.711145, 0.711297, 0.711446, 0.711593, 0.711736, 0.711878, 0.712016, 0.712152, 0.712286, 0.712417, 0.712546, 0.712673, 0.712798, 0.71292, 0.71304, 0.713159, 0.713275, 0.71339, 0.713502, 0.713613, 0.713722, 0.71383, 0.713935, 0.714039, 0.714141, 0.714242, 0.714341, 0.714439, 0.714535, 0.71463, 0.714723, 0.714815, 0.714906, 0.714995, 0.715083, 0.71517, 0.715256, 0.71534, 0.715423, 0.715505, 0.715586, 0.715666, 0.715744, 0.715822, 0.715899, 0.715974, 0.716049, 0.716122, 0.716195, 0.716266, 0.716337, 0.716407, 0.716476, 0.716544, 0.716611, 0.716677, 0.716743, 0.716807, 0.716871, 0.716934, 0.716997, 0.717058, 0.717119, 0.717179, 0.717238, 0.717297, 0.717355, 0.717412, 0.717469, 0.717525, 0.717581, 0.717635, 0.717689, 0.717743, 0.717796, 0.717848, 0.7179, 0.717951, 0.718002, 0.718052, 0.718101, 0.71815, 0.718199, 0.718247, 0.718294, 0.718341, 0.718387, 0.718433, 0.718479, 0.718524, 0.718568, 0.718612, 0.718656, 0.718699, 0.718742, 0.718784, 0.718826, 0.718868, 0.718909, 
