DIM\Power, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 
1, 0.3319, 0.3319, 0.3319, 0.3319, 0.3319, 0.3319, 0.3319, 0.3319, 0.3319, 0.3319, 
2, 0.334087, 0.369313, 0.390918, 0.405009, 0.414816, 0.422, 0.427476, 0.431783, 0.435255, 0.438113, 
3, 0.333784, 0.382598, 0.414693, 0.436673, 0.452473, 0.46431, 0.473482, 0.480784, 0.486728, 0.491658, 
4, 0.333003, 0.388433, 0.426223, 0.45291, 0.472524, 0.487456, 0.499164, 0.508572, 0.516287, 0.522722, 
5, 0.333127, 0.392761, 0.434346, 0.464338, 0.486742, 0.504009, 0.517674, 0.528735, 0.537856, 0.5455, 
6, 0.333249, 0.395375, 0.439366, 0.471589, 0.495962, 0.514929, 0.530052, 0.542364, 0.552566, 0.561149, 
7, 0.333286, 0.397497, 0.443415, 0.477415, 0.503371, 0.523721, 0.540044, 0.553397, 0.564506, 0.573881, 
8, 0.333272, 0.398944, 0.446214, 0.481509, 0.508663, 0.530089, 0.547366, 0.56156, 0.573409, 0.583438, 
9, 0.333157, 0.399872, 0.448152, 0.484434, 0.512515, 0.534788, 0.552825, 0.567696, 0.580146, 0.590711, 
10, 0.333273, 0.400707, 0.449708, 0.486747, 0.515576, 0.538552, 0.557235, 0.57269, 0.585665, 0.596699, 
11, 0.333024, 0.401253, 0.451075, 0.48892, 0.518504, 0.54217, 0.561472, 0.577479, 0.590947, 0.60242, 
12, 0.332989, 0.40168, 0.451924, 0.49022, 0.520274, 0.544403, 0.564147, 0.580565, 0.594411, 0.60623, 
13, 0.333542, 0.40285, 0.45366, 0.492503, 0.523081, 0.547702, 0.567898, 0.584729, 0.598949, 0.611107, 
14, 0.333134, 0.40279, 0.453933, 0.493129, 0.52407, 0.549048, 0.569587, 0.58674, 0.601257, 0.613689, 
15, 0.333343, 0.403445, 0.454996, 0.494596, 0.525935, 0.551299, 0.572201, 0.58969, 0.604518, 0.617233, 
16, 0.333057, 0.403337, 0.455088, 0.494918, 0.526506, 0.552124, 0.573276, 0.591004, 0.606057, 0.618981, 
17, 0.333498, 0.40396, 0.455889, 0.495929, 0.527755, 0.553625, 0.575029, 0.593003, 0.608289, 0.621432, 
18, 0.333243, 0.404097, 0.456351, 0.496681, 0.528773, 0.55489, 0.576523, 0.594708, 0.610188, 0.623512, 
19, 0.333519, 0.404574, 0.457015, 0.497534, 0.52982, 0.556133, 0.577963, 0.59634, 0.612004, 0.625502, 
20, 0.333418, 0.404612, 0.457228, 0.49795, 0.530451, 0.556979, 0.579015, 0.597587, 0.613433, 0.6271, 
21, 0.333346, 0.404845, 0.457698, 0.498629, 0.531327, 0.558044, 0.580262, 0.599007, 0.615017, 0.628837, 
22, 0.3333, 0.405016, 0.458078, 0.49921, 0.532104, 0.55901, 0.581409, 0.600326, 0.616498, 0.630468, 
23, 0.333428, 0.40508, 0.458108, 0.499262, 0.53222, 0.559218, 0.581725, 0.600758, 0.617046, 0.631132, 
24, 0.3331, 0.404984, 0.458199, 0.499516, 0.532625, 0.559769, 0.582417, 0.601583, 0.618, 0.632206, 
25, 0.333234, 0.40522, 0.458558, 0.50001, 0.53326, 0.560545, 0.583331, 0.602631, 0.619174, 0.633499, 
26, 0.333535, 0.405633, 0.459035, 0.500538, 0.533844, 0.561194, 0.584054, 0.603433, 0.620058, 0.634467, 
27, 0.333126, 0.405338, 0.45888, 0.500527, 0.533973, 0.561459, 0.584447, 0.603948, 0.620688, 0.635203, 
28, 0.333112, 0.40541, 0.459044, 0.500797, 0.534355, 0.561953, 0.585052, 0.604661, 0.621503, 0.636117, 
29, 0.333241, 0.405633, 0.459335, 0.501149, 0.534773, 0.562442, 0.585617, 0.605304, 0.622227, 0.636919, 
30, 0.333395, 0.405853, 0.45962, 0.501506, 0.535209, 0.562964, 0.586227, 0.606003, 0.623012, 0.637788, 
31, 0.333478, 0.406045, 0.45992, 0.501914, 0.535724, 0.563584, 0.586949, 0.606824, 0.623928, 0.638794, 
32, 0.333238, 0.405887, 0.459798, 0.501813, 0.535644, 0.56353, 0.586926, 0.606837, 0.62398, 0.638888, 
33, 0.333357, 0.406071, 0.460056, 0.502145, 0.536049, 0.564007, 0.587476, 0.607458, 0.624671, 0.639646, 
34, 0.333264, 0.40608, 0.460158, 0.502343, 0.536346, 0.564402, 0.587968, 0.608043, 0.625345, 0.640404, 
35, 0.333384, 0.406275, 0.460413, 0.502644, 0.536683, 0.564772, 0.588369, 0.608478, 0.625815, 0.640911, 
36, 0.333299, 0.406284, 0.460482, 0.50276, 0.536845, 0.56498, 0.588626, 0.608784, 0.626171, 0.641317, 
37, 0.333232, 0.406165, 0.46036, 0.502665, 0.536791, 0.564979, 0.588682, 0.6089, 0.626346, 0.641549, 
38, 0.333396, 0.406424, 0.460659, 0.502997, 0.53716, 0.56539, 0.589141, 0.60941, 0.626909, 0.642168, 
39, 0.333191, 0.40629, 0.460597, 0.503006, 0.537238, 0.565537, 0.589354, 0.609686, 0.627247, 0.642562, 
40, 0.333062, 0.406164, 0.460487, 0.502916, 0.537173, 0.565498, 0.589343, 0.609706, 0.627297, 0.642645, 
